Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
19.67,46.89,3.998,25.79,24.9,4.1461
19.71,46.91,4.0059,25.87,24.9,4.1508
19.76,46.91,4.0028,25.79,24.9,4.1476
19.8,46.94,3.9821,26.19,24.9,4.1461
19.85,46.91,4.0043,25.87,25.0,4.1445
19.89,46.91,3.9996,26.03,25.0,4.1413
19.93,47.01,4.0043,26.11,25.0,4.1461
19.97,46.94,4.0012,25.63,25.0,4.1492
20.01,46.91,4.0012,25.55,25.0,4.1476
20.06,46.96,4.0043,25.71,25.0,4.1461
20.1,46.89,4.0059,25.87,25.0,4.1492
20.15,46.91,4.0107,25.79,25.0,4.1445
20.19,46.86,3.9836,25.63,25.0,4.1461
20.23,46.84,4.0059,25.95,25.0,4.1508
20.27,46.94,4.0043,25.87,25.0,4.1492
20.31,46.89,4.0043,25.79,25.0,4.1429
20.36,46.96,4.0075,25.71,25.0,4.1492
20.4,46.91,4.0028,25.95,25.0,4.1445
20.44,46.86,4.0043,25.79,25.0,4.1508
20.48,46.91,4.0091,25.95,25.0,4.1461
20.52,46.96,4.0059,25.87,25.0,4.1476
20.57,46.94,3.9821,26.03,25.0,4.1476
20.61,46.91,3.998,25.95,25.0,4.1461
20.66,46.84,4.0075,25.95,25.0,4.1492
20.7,46.94,4.0043,26.03,25.0,4.1445
20.74,46.89,4.0059,26.03,25.0,4.1524
20.78,46.91,4.0043,25.79,25.0,4.1476
20.82,46.89,4.0012,25.95,25.0,4.1461
20.87,46.86,4.0107,26.27,25.1,4.1476
20.91,46.86,4.0059,26.11,25.0,4.1476
20.96,46.86,3.9836,26.19,25.1,4.1461
21.0,46.91,3.9996,26.11,25.1,4.1461
21.04,46.94,3.9996,26.11,25.1,4.1476
21.1,46.89,3.9789,25.63,25.1,4.1461
21.15,46.89,3.9805,26.11,25.1,4.1461
21.19,46.91,3.9741,26.03,25.1,4.1461
21.23,46.91,3.9805,26.11,25.1,4.1461
21.27,46.91,3.9805,26.19,25.1,4.1461
21.31,46.96,3.9821,25.95,25.1,4.1429
21.36,46.89,3.9852,26.11,25.1,4.1476
21.4,46.86,4.0075,26.19,25.1,4.1508
21.45,46.84,4.0075,26.19,25.1,4.1461
21.49,46.89,4.0043,26.27,25.1,4.1429
21.53,46.89,4.0043,26.19,25.1,4.1461
21.57,46.84,4.0059,26.19,25.1,4.1492
21.61,46.89,4.0075,26.11,25.1,4.1445
21.66,46.84,4.0059,26.19,25.1,4.1492
21.7,46.91,4.0012,25.95,25.1,4.1445
21.75,46.84,3.9805,26.11,25.1,4.1508
21.79,46.89,3.9996,25.95,25.1,4.1429
21.83,46.91,4.0028,26.19,25.1,4.1476
21.87,46.89,3.998,26.27,25.1,4.1445
21.91,46.89,4.0043,26.27,25.1,4.1445
21.96,46.91,3.9996,26.27,25.1,4.1429
22.0,46.86,4.0059,26.19,25.1,4.1476
