Time [s], A0
7.753916,694
7.756644,698
7.759368,698
7.762108,699
7.764824,698
7.767564,699
7.770288,698
7.773012,694
7.775744,701
7.778464,703
7.781192,702
7.783928,700
7.786648,702
7.789368,704
7.792096,704
7.794824,704
7.797544,702
7.800276,704
7.803,706
7.80572,706
7.808448,705
7.811168,706
7.813896,706
7.816632,709
7.819352,708
7.822072,707
7.824808,708
7.827528,709
7.830256,707
7.832992,711
7.83572,712
7.838448,710
7.841176,712
7.843912,713
7.84664,712
7.849368,714
7.852096,713
7.854824,713
7.85756,712
7.860284,714
7.863008,714
7.865744,715
7.868472,727
7.871192,715
7.873928,715
7.876656,717
7.879376,717
7.882104,720
7.884832,716
7.887548,719
7.890272,718
7.893,719
7.89572,720
7.898448,720
7.901168,717
7.9039,722
7.906636,721
7.909352,722
7.91208,723
7.914816,723
7.917536,722
7.920272,722
7.922992,723
7.92572,724
7.928448,725
7.931176,726
7.933912,724
7.936648,726
7.939376,726
7.942096,725
7.944832,725
7.947568,727
7.950292,727
7.953024,727
7.955744,734
7.958456,730
7.961184,731
7.963904,730
7.966624,728
7.969352,729
7.972072,731
7.9748,733
7.977528,732
7.980256,734
7.982976,733
7.985712,736
7.988424,735
7.991144,735
7.993876,736
7.9966,735
7.999324,737
8.002056,736
8.004776,740
8.007496,737
8.010216,737
8.012936,736
8.015664,739
8.018388,738
8.021104,740
8.023832,739
8.02656,741
8.029288,741
8.032008,741
8.034736,740
8.037456,743
8.04018,743
8.042912,744
8.04564,744
8.04836,744
8.05108,744
8.053816,746
8.056536,743
8.059256,747
8.061984,746
8.064712,747
8.067448,747
8.070184,745
8.072912,748
8.07564,749
8.078368,748
8.081088,749
8.083816,749
8.086536,751
8.089248,751
8.091984,753
8.094716,753
8.097452,751
8.100168,752
8.102896,753
8.105632,759
8.108364,756
8.11108,755
8.113808,757
8.116536,754
8.119256,758
8.121992,760
8.12472,758
8.127448,758
8.130184,757
8.132912,760
8.13564,762
8.138368,756
8.141096,765
8.143824,762
8.14656,763
8.149284,763
8.152008,764
8.154736,765
8.157464,765
8.160176,767
8.162912,768
8.16564,767
8.168344,768
8.171064,769
8.173792,772
8.176512,771
8.17924,770
8.181968,773
8.18468,770
8.187408,770
8.190136,772
8.192856,775
8.195592,775
8.198308,774
8.201032,774
8.203764,777
8.20648,775
8.209192,776
8.21192,775
8.214648,776
8.217368,778
8.220096,780
8.222824,780
8.225544,783
8.228264,782
8.230992,780
8.233712,782
8.236448,781
8.239176,785
8.241904,783
8.244632,785
8.24736,784
8.25008,785
8.252816,786
8.255536,788
8.258248,789
8.260988,786
8.26372,790
8.266448,789
8.269168,789
8.271896,789
8.274624,790
8.277352,788
8.28008,790
8.2828,791
8.285528,793
8.288248,791
8.290984,792
8.293712,793
8.296432,795
8.29916,795
8.301896,797
8.304616,795
8.307344,796
8.310072,796
8.312792,797
8.31552,797
8.318248,798
8.320976,800
8.323696,800
8.326416,800
8.329136,797
8.331872,801
8.334592,802
8.337316,803
8.340048,805
8.342768,805
8.345492,806
8.348216,802
8.350936,807
8.353668,806
8.356392,809
8.359112,808
8.361832,809
8.364552,809
8.367296,806
8.370016,810
8.372744,812
8.375464,810
8.378184,812
8.380912,814
8.38364,812
8.38636,813
8.38908,810
8.391808,815
8.394528,818
8.397248,816
8.399968,820
8.402696,820
8.405424,819
8.408144,819
8.410872,820
8.4136,819
8.416324,821
8.419048,818
8.421776,821
8.424504,823
8.427224,823
8.429952,822
8.43268,824
8.4354,824
