seconds, T0, T1, T2, T3, T4, T5, BAT, 
6.691, 25.013, 26.526, 25.809, 25.889, 25.809, 25.013, 4.1795, 
6.699, 25.093, 26.287, 26.128, 25.889, 25.730, 25.252, 4.1715, 
6.708, 25.173, 26.446, 25.809, 26.287, 25.571, 25.332, 4.1779, 
6.716, 24.934, 26.366, 26.048, 25.969, 25.730, 25.013, 4.1795, 
6.724, 25.093, 26.526, 26.048, 26.446, 25.650, 25.173, 4.1779, 
6.733, 25.332, 26.605, 25.969, 26.128, 25.809, 25.093, 4.1795, 
6.741, 25.173, 26.526, 25.809, 26.366, 25.491, 25.093, 4.1811, 
6.749, 25.093, 26.605, 25.809, 26.048, 25.889, 25.013, 4.1747, 
6.763, 25.173, 26.685, 25.650, 25.969, 25.969, 25.173, 4.1795, 
6.772, 25.332, 26.526, 26.128, 25.889, 25.650, 25.013, 4.1747, 
6.780, 25.093, 26.366, 25.650, 26.207, 25.491, 25.013, 4.1811, 
6.788, 24.934, 26.605, 25.969, 25.969, 25.889, 25.173, 4.1747, 
6.797, 25.411, 26.446, 25.889, 25.969, 25.650, 25.093, 4.1747, 
6.805, 25.013, 26.526, 25.889, 25.889, 25.809, 25.173, 4.1763, 
6.813, 24.934, 26.605, 25.809, 25.969, 25.889, 25.013, 4.1731, 
6.822, 25.013, 26.446, 25.889, 26.128, 25.730, 25.093, 4.1731, 
6.835, 25.013, 26.526, 26.128, 26.446, 26.128, 25.093, 4.1779, 
6.844, 25.173, 26.287, 25.889, 26.128, 25.491, 24.934, 4.1763, 
6.852, 25.013, 26.446, 26.048, 26.048, 25.969, 25.173, 4.1795, 
6.860, 25.252, 26.605, 25.969, 26.128, 25.730, 25.093, 4.1763, 
6.869, 24.934, 26.685, 25.730, 25.969, 25.889, 25.173, 4.1731, 
6.877, 24.934, 26.526, 26.128, 26.048, 25.650, 25.013, 4.1795, 
6.885, 25.173, 26.287, 26.128, 25.969, 25.730, 25.093, 4.1795, 
6.894, 25.411, 26.366, 25.969, 26.048, 25.889, 25.252, 4.1763, 
6.907, 25.491, 26.526, 25.809, 25.969, 25.889, 24.934, 4.1795, 
6.916, 25.013, 26.366, 25.889, 25.889, 25.650, 25.093, 4.1763, 
6.924, 25.093, 26.366, 26.128, 26.048, 25.491, 25.093, 4.1699, 
6.932, 25.013, 26.366, 26.048, 26.287, 25.571, 24.934, 4.1731, 
6.941, 24.854, 26.366, 25.809, 25.889, 25.889, 24.854, 4.1763, 
6.949, 25.013, 26.366, 25.969, 26.048, 25.650, 25.093, 4.1827, 
6.957, 25.013, 27.162, 26.048, 25.969, 25.491, 25.093, 4.1747, 
6.966, 25.173, 26.366, 25.889, 25.969, 25.650, 24.934, 4.1747, 
6.980, 25.013, 26.685, 25.809, 26.048, 25.809, 25.173, 4.1763, 
6.988, 25.093, 26.207, 25.969, 25.889, 25.730, 25.093, 4.1731, 
6.996, 25.013, 26.446, 25.889, 25.730, 25.809, 24.854, 4.1779, 
7.005, 25.093, 26.605, 25.889, 25.889, 25.650, 25.332, 4.1779, 
7.013, 25.252, 26.526, 25.809, 26.446, 25.730, 24.934, 4.1843, 
7.021, 25.252, 26.446, 25.809, 26.128, 25.650, 25.013, 4.1763, 
7.030, 25.013, 26.526, 25.889, 26.128, 25.571, 24.934, 4.1763, 
7.038, 25.332, 26.685, 26.128, 25.969, 25.969, 25.173, 4.1779, 
7.052, 25.252, 26.526, 25.889, 25.889, 25.889, 25.093, 4.1747, 
7.060, 25.013, 26.446, 25.730, 26.048, 25.809, 25.173, 4.1795, 
7.069, 24.934, 26.526, 25.809, 25.969, 25.491, 25.252, 4.1731, 
7.077, 25.013, 26.764, 25.889, 25.969, 25.969, 24.934, 4.1811, 
7.085, 25.173, 26.764, 25.809, 25.969, 25.491, 25.252, 4.1827, 
7.094, 25.013, 26.526, 26.048, 26.048, 25.650, 24.934, 4.1763, 
7.102, 25.013, 26.526, 25.571, 25.889, 25.571, 25.093, 4.1747, 
7.110, 24.934, 26.605, 25.969, 25.969, 25.730, 24.934, 4.1715, 
7.124, 25.013, 26.844, 25.730, 25.969, 25.730, 25.013, 4.1747, 
7.133, 25.252, 26.526, 25.889, 26.128, 25.730, 25.013, 4.1811, 
7.141, 25.411, 26.844, 25.809, 25.889, 25.809, 24.854, 4.1811, 
7.149, 25.252, 26.366, 25.969, 26.048, 25.571, 24.695, 4.1795, 
7.158, 25.173, 26.366, 25.889, 26.128, 25.571, 25.013, 4.1747, 
7.166, 24.934, 26.685, 26.207, 25.969, 25.730, 25.093, 4.1747, 
7.174, 25.332, 26.446, 25.730, 25.809, 25.809, 24.934, 4.1731, 
7.188, 24.854, 26.764, 26.048, 25.889, 25.650, 24.854, 4.1715, 
7.197, 25.491, 26.366, 25.730, 25.730, 25.650, 24.934, 4.1827, 
7.205, 25.093, 26.685, 25.730, 25.889, 26.048, 25.013, 4.1699, 
7.213, 24.854, 26.366, 25.889, 25.969, 25.809, 25.093, 4.1779, 
7.222, 25.013, 27.083, 25.969, 26.048, 25.809, 24.934, 4.1763, 
7.230, 25.093, 26.366, 26.128, 25.969, 25.730, 24.934, 4.1763, 
7.238, 25.252, 26.446, 25.809, 25.969, 25.889, 24.854, 4.1683, 
7.247, 24.934, 26.446, 26.207, 26.048, 25.650, 24.934, 4.1779, 
7.261, 25.093, 26.605, 26.048, 25.809, 25.889, 25.013, 4.1779, 
7.269, 25.013, 26.526, 25.969, 26.287, 25.730, 24.934, 4.1763, 
7.277, 25.013, 26.685, 25.969, 26.207, 25.889, 25.093, 4.1827, 
7.286, 25.013, 26.446, 26.764, 26.207, 25.809, 24.854, 4.1843, 
7.294, 25.093, 26.526, 25.889, 26.048, 25.730, 25.013, 4.1715, 
7.302, 25.173, 26.685, 25.969, 26.207, 25.571, 25.013, 4.1811, 
7.311, 24.854, 26.526, 25.969, 25.889, 25.809, 25.013, 4.1763, 
7.319, 25.173, 26.526, 25.809, 25.969, 25.730, 25.013, 4.1747, 
7.333, 25.173, 26.605, 25.809, 26.128, 25.969, 25.332, 4.1779, 
7.341, 25.173, 26.128, 25.809, 25.809, 25.809, 24.854, 4.1747, 
7.350, 25.013, 26.526, 25.969, 26.048, 25.889, 25.013, 4.1763, 
7.358, 25.013, 26.685, 25.889, 26.048, 26.048, 25.093, 4.1779, 
7.366, 25.173, 26.685, 25.889, 26.048, 25.889, 25.093, 4.1795, 
7.375, 25.173, 26.446, 26.048, 25.889, 25.571, 25.013, 4.1763, 
7.383, 25.013, 26.526, 25.889, 25.969, 25.889, 25.013, 4.1715, 
7.391, 24.934, 26.446, 25.889, 25.889, 25.889, 25.093, 4.1747, 
7.405, 25.252, 26.366, 25.809, 26.287, 25.730, 25.332, 4.1715, 
7.414, 25.093, 26.207, 25.889, 25.969, 25.889, 25.332, 4.1731, 
7.422, 25.332, 26.366, 25.969, 26.048, 25.571, 25.332, 4.1779, 
7.430, 25.013, 26.605, 25.809, 25.969, 25.730, 25.093, 4.1747, 
7.438, 25.093, 26.764, 25.969, 26.048, 25.571, 25.173, 4.1779, 
7.447, 25.093, 26.605, 25.969, 25.969, 25.730, 24.854, 4.1827, 
7.455, 25.093, 26.526, 25.969, 26.128, 25.571, 25.013, 4.1763, 
7.463, 25.571, 26.446, 26.048, 26.207, 25.491, 25.411, 4.1795, 
7.477, 25.332, 26.366, 25.889, 25.889, 25.809, 24.854, 4.1843, 
7.486, 24.934, 26.526, 25.969, 26.128, 25.571, 25.013, 4.1811, 
7.494, 25.093, 26.446, 25.889, 25.969, 25.491, 25.093, 4.1795, 
7.502, 25.093, 26.526, 25.809, 25.969, 26.128, 25.332, 4.1827, 
7.511, 25.093, 26.526, 25.969, 25.969, 25.650, 24.934, 4.1731, 
7.519, 25.173, 26.366, 25.889, 26.128, 25.969, 25.173, 4.1843, 
