Time [ms],Time [ms],Test 1,Test 2,Test 3,Test 4,Test 5
588.12,588.12,2.81,1.99,2.22,0.7,
589.568,589.568,2.81,1.99,2.22,0.7,
591.008,591.008,2.81,1.99,2.34,0.7,
592.448,592.448,2.81,1.99,2.34,0.7,
593.904,593.904,2.81,1.99,2.46,0.59,
595.336,595.336,2.81,1.99,2.34,0.59,
596.792,596.792,2.81,1.99,2.34,0.59,
598.24,598.24,2.81,1.99,2.46,0.59,
599.672,599.672,2.93,1.99,2.46,0.59,
601.128,601.128,2.93,2.11,2.46,0.59,
602.568,602.568,2.93,2.11,2.46,0.59,
604.016,604.016,3.04,2.11,2.58,0.59,
605.452,605.452,3.04,2.11,2.58,0.59,
606.896,606.896,3.04,2.22,2.69,0.59,
608.344,608.344,3.16,2.22,2.69,0.59,
609.796,609.796,3.16,2.34,2.81,0.7,
611.24,611.24,3.16,2.34,2.93,0.59,
612.692,612.692,3.28,2.46,2.93,0.7,
614.136,614.136,3.28,2.46,2.93,0.7,
615.568,615.568,3.4,2.58,3.04,0.7,
617.012,617.012,3.4,2.69,3.04,0.82,
618.46,618.46,3.4,2.69,3.16,0.82,
619.9,619.9,3.51,2.81,3.16,0.82,
621.36,621.36,3.51,2.81,3.16,0.82,
622.796,622.796,3.63,2.93,3.28,0.82,
624.24,624.24,3.63,3.04,3.28,0.94,
625.696,625.696,3.63,3.04,3.28,0.94,
627.128,627.128,3.75,3.16,3.4,0.94,
628.584,628.584,3.75,3.16,3.4,0.94,
630.02,630.02,3.86,3.16,3.4,0.94,
631.472,631.472,3.86,3.28,3.4,0.94,
632.92,632.92,3.86,3.28,3.4,0.94,
634.352,634.352,3.86,3.28,3.4,0.94,
635.808,635.808,3.86,3.28,3.4,0.82,
637.24,637.24,3.98,3.4,3.4,0.94,
638.692,638.692,3.98,3.4,3.4,0.82,
640.136,640.136,3.98,3.4,3.28,0.82,
641.576,641.576,3.98,3.4,3.28,0.82,
643.028,643.028,3.98,3.4,3.28,0.82,
644.472,644.472,3.98,3.4,3.16,0.82,
645.916,645.916,3.98,3.4,3.16,0.7,
647.36,647.36,3.98,3.4,3.16,0.7,
648.808,648.808,3.98,3.4,3.04,0.7,
650.252,650.252,3.98,3.28,3.04,0.7,
651.696,651.696,3.98,3.28,2.93,0.59,
653.14,653.14,3.86,3.28,2.93,0.59,
654.584,654.584,3.98,3.16,2.93,0.59,
656.036,656.036,3.86,3.16,2.81,0.59,
657.48,657.48,3.86,3.16,2.69,0.59,
658.92,658.92,3.86,3.04,2.69,0.7,
660.368,660.368,3.86,3.04,2.69,0.59,
661.808,661.808,3.75,2.93,2.58,0.59,
663.264,663.264,3.75,2.93,2.58,0.59,
664.7,664.7,3.63,2.81,2.46,0.7,
666.144,666.144,3.63,2.69,2.46,0.7,
667.6,667.6,3.4,2.69,2.46,0.7,
669.028,669.028,3.51,2.69,2.46,0.7,
670.488,670.488,3.51,2.58,2.34,0.7,
671.924,671.924,3.51,2.58,2.34,0.7,
673.372,673.372,3.4,2.46,2.34,0.82,
674.82,674.82,3.4,2.46,2.34,0.82,
676.252,676.252,3.28,2.34,2.34,0.82,
677.712,677.712,3.28,2.34,2.34,0.82,
679.152,679.152,3.16,2.22,2.34,0.82,
680.596,680.596,3.16,2.22,2.34,0.82,
682.048,682.048,3.16,2.22,2.34,0.82,
683.492,683.492,3.04,2.11,2.46,0.94,
684.928,684.928,3.04,2.11,2.46,0.94,
686.372,686.372,3.04,2.11,2.46,0.94,
687.816,687.816,3.04,2.11,2.58,0.94,
689.26,689.26,2.93,2.11,2.58,0.82,
690.712,690.712,2.93,2.11,2.58,0.82,
692.16,692.16,2.81,2.11,2.69,0.82,
693.6,693.6,2.69,2.11,2.69,0.82,
695.048,695.048,2.93,2.11,2.69,0.82,
696.488,696.488,2.93,2.11,2.81,0.82,
697.936,697.936,2.81,2.11,2.81,0.82,
699.384,699.384,2.81,2.11,2.93,0.82,
700.824,700.824,2.81,2.22,2.93,0.7,
702.28,702.28,2.81,2.22,3.04,0.82,
703.712,703.712,2.81,2.22,3.04,0.7,
705.16,705.16,2.93,2.34,3.16,0.7,
706.608,706.608,2.93,2.34,3.16,0.7,
708.048,708.048,2.93,2.34,3.16,0.7,
709.504,709.504,2.93,2.46,3.28,0.7,
710.936,710.936,2.93,2.46,3.28,0.59,
712.392,712.392,2.93,2.46,3.28,0.7,
713.84,713.84,3.04,2.58,3.28,0.59,
715.268,715.268,3.04,2.69,3.28,0.59,
716.72,716.72,2.93,2.69,3.28,0.59,
718.168,718.168,3.16,2.81,3.28,0.59,
719.616,719.616,3.16,2.81,3.28,0.59,
721.06,721.06,3.16,2.93,3.28,0.7,
722.5,722.5,3.28,2.93,3.28,0.7,
723.952,723.952,3.28,3.04,3.28,0.7,
725.392,725.392,3.28,3.04,3.28,0.7,
726.84,726.84,3.4,3.16,3.28,0.7,
728.284,728.284,3.4,3.28,3.28,0.7,
729.716,729.716,3.51,3.16,3.16,0.7,
731.176,731.176,3.51,3.16,3.28,0.7,
732.62,732.62,3.51,3.28,3.16,0.82,
734.064,734.064,3.63,3.28,3.04,0.7,
735.504,735.504,3.63,3.28,3.04,0.82,
736.96,736.96,3.75,3.28,3.04,0.82,
738.4,738.4,3.75,3.28,2.93,0.82,
739.844,739.844,3.75,3.28,2.93,0.82,
741.296,741.296,3.75,3.28,2.81,0.82,
742.74,742.74,3.86,3.28,2.81,0.82,
744.184,744.184,3.86,3.28,2.69,0.82,
745.616,745.616,3.86,3.16,2.69,0.82,
747.064,747.064,3.86,3.28,2.69,0.82,
748.52,748.52,3.86,3.28,2.69,0.82,
749.952,749.952,3.98,3.16,2.58,0.82,
751.404,751.404,3.98,3.16,2.58,0.82,
752.848,752.848,3.98,3.16,2.46,0.82,
754.288,754.288,3.98,3.04,2.46,0.82,
755.74,755.74,3.98,2.93,2.46,0.82,
757.176,757.176,3.98,2.93,2.46,0.82,
758.628,758.628,3.98,2.93,2.34,0.82,
760.072,760.072,3.98,2.81,2.46,0.82,
761.516,761.516,3.86,2.81,2.46,0.7,
762.968,762.968,3.86,2.69,2.46,0.7,
764.408,764.408,3.86,2.69,2.34,0.7,
765.856,765.856,3.86,2.69,2.46,0.7,
767.296,767.296,3.86,2.46,2.46,0.7,
768.744,768.744,3.75,2.46,2.46,0.7,
