,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
333,19.8,46.94,3.9821,26.19,24.9,4.1461
334,19.85,46.91,4.0043,25.87,25.0,4.1445
335,19.89,46.91,3.9996,26.03,25.0,4.1413
336,19.93,47.01,4.0043,26.11,25.0,4.1461
337,19.97,46.94,4.0012,25.63,25.0,4.1492
338,20.01,46.91,4.0012,25.55,25.0,4.1476
339,20.06,46.96,4.0043,25.71,25.0,4.1461
340,20.1,46.89,4.0059,25.87,25.0,4.1492
341,20.15,46.91,4.0107,25.79,25.0,4.1445
342,20.19,46.86,3.9836,25.63,25.0,4.1461
343,20.23,46.84,4.0059,25.95,25.0,4.1508
344,20.27,46.94,4.0043,25.87,25.0,4.1492
345,20.31,46.89,4.0043,25.79,25.0,4.1429
346,20.36,46.96,4.0075,25.71,25.0,4.1492
347,20.4,46.91,4.0028,25.95,25.0,4.1445
348,20.44,46.86,4.0043,25.79,25.0,4.1508
349,20.48,46.91,4.0091,25.95,25.0,4.1461
350,20.52,46.96,4.0059,25.87,25.0,4.1476
351,20.57,46.94,3.9821,26.03,25.0,4.1476
352,20.61,46.91,3.998,25.95,25.0,4.1461
353,20.66,46.84,4.0075,25.95,25.0,4.1492
354,20.7,46.94,4.0043,26.03,25.0,4.1445
355,20.74,46.89,4.0059,26.03,25.0,4.1524
356,20.78,46.91,4.0043,25.79,25.0,4.1476
357,20.82,46.89,4.0012,25.95,25.0,4.1461
358,20.87,46.86,4.0107,26.27,25.1,4.1476
359,20.91,46.86,4.0059,26.11,25.0,4.1476
360,20.96,46.86,3.9836,26.19,25.1,4.1461
361,21.0,46.91,3.9996,26.11,25.1,4.1461
362,21.04,46.94,3.9996,26.11,25.1,4.1476
363,21.1,46.89,3.9789,25.63,25.1,4.1461
364,21.15,46.89,3.9805,26.11,25.1,4.1461
365,21.19,46.91,3.9741,26.03,25.1,4.1461
366,21.23,46.91,3.9805,26.11,25.1,4.1461
367,21.27,46.91,3.9805,26.19,25.1,4.1461
368,21.31,46.96,3.9821,25.95,25.1,4.1429
369,21.36,46.89,3.9852,26.11,25.1,4.1476
370,21.4,46.86,4.0075,26.19,25.1,4.1508
371,21.45,46.84,4.0075,26.19,25.1,4.1461
372,21.49,46.89,4.0043,26.27,25.1,4.1429
373,21.53,46.89,4.0043,26.19,25.1,4.1461
374,21.57,46.84,4.0059,26.19,25.1,4.1492
375,21.61,46.89,4.0075,26.11,25.1,4.1445
376,21.66,46.84,4.0059,26.19,25.1,4.1492
377,21.7,46.91,4.0012,25.95,25.1,4.1445
378,21.75,46.84,3.9805,26.11,25.1,4.1508
379,21.79,46.89,3.9996,25.95,25.1,4.1429
380,21.83,46.91,4.0028,26.19,25.1,4.1476
381,21.87,46.89,3.998,26.27,25.1,4.1445
382,21.91,46.89,4.0043,26.27,25.1,4.1445
383,21.96,46.91,3.9996,26.27,25.1,4.1429
384,22.0,46.86,4.0059,26.19,25.1,4.1476
385,22.04,46.84,4.0059,26.27,25.1,4.1476
386,22.08,46.91,4.0043,26.03,25.1,4.1461
387,22.13,46.91,3.9805,25.71,25.1,4.1476
388,22.17,46.84,4.0043,26.03,25.1,4.1445
389,22.21,46.91,4.0107,26.35,25.1,4.1476
390,22.26,46.89,4.0043,26.35,25.1,4.1461
391,22.3,46.81,4.0012,26.11,25.2,4.1492
